,Sentence,language,stopwords count,Actionable Words,Check Email,Check Phone,Check URL or Link,Sentiments,Named Entinties,Profanitries
0,ID 780 - Muhammad AfzalRider\nPhone\n+923004891027,English,0,Null,,9.23E+11,,,,
1,cs order k bry men jannna chah rhy thy or call drop ho gai,Roman Urdu,3,"['order', 'call']",,,,Neutral,,
2,cs cmplet info fraham nhi ker pay or onko sahi sy guide nhi kia gia,Roman Urdu,,Null,,,,,,
3,cs unrechble hy or ride loaction per tha or ossi doran cs ki call aa gi,Roman Urdu,6,"['ride', 'location']",,,,,,
4,S156D9 sbp  still pending order confirmatrion required ,Roman Urdu,,"['order', 'confirmation', 'required']",,,,,,
5,cs price ki info leny aya tha likin osko guide ker dia hy ,Roman Urdu,4,Null,,,,Neutral,[],[]
6,7BUNWG  cs price ki info leny aya tha osko guide ker dia hy,Roman Urdu,0,Null,,,,Positive,,
7,guideed how to place an order from app ,English,4,"['place', 'order', 'app']",,,,Neutral,[],[]
8, Cm kay pass cash nahi hai return karna hai order,Roman Urdu,5,"['return', 'order']",,,,Negative,,
9,order confirm required ,English,1,"['order', 'confirm']",,,,,,
10,RIDER KO CX KA ADDRESS GUIDE KYA HAI,Roman Urdu,2,"['RIDER', 'ADDRESS', 'GUIDE']",,,,,['CX'],
11,as per cus ka kehna hai humne ye order nhi lagaya hai lekin order bhi hum khud karte hain ap ye return kardein..,Roman Urdu,6,"['order', 'return']",,,,Negative,[],
12,cs ko quick order k hawal sy guide kiya hai k order dubara place karain,Roman Urdu,2,"['order', 'place']",,,,Positive,['cs'],
13,cs ko guide kardia hai tp ki picture send kar k rabta karein ,Roman Urdu,2,"['send', 'rabta', 'karein']",,,,,,
14,guided delivery time line,English,,"['delivery', 'time']",,,,,,
15,supp ko guide kardia hai k ap apne ware house me rabta karein ,Roman Urdu,4,"['guide', 'ware house', 'rabta']",,,,,[],[]
16,shop closed thi number unreachable tha ,Roman Urdu,2,Null,,,,Negative,[],[]
17,cs ko guide kardia hai k product arrange ho rahi hai,Roman Urdu,5,"['guide', 'product', 'arrange']",,,,Positive,[],
18,Cm ki shop closed hai  supplier return ka bol rahe hain \n\n,Roman Urdu,7,"['shop', 'closed', 'supplier', 'return']",,,,Negative,,[]
19,retailer poch rahe the ke apke number se call kiyio arahi th i so guide krdiya ,Roman Urdu,4,Null,,,,Neutral,[],[]
20,guided for call back from SBP ,English,4,"['call back', 'SBP']",,,,Neutral,['SBP'],
21,1667373999178  is ticket main redeliver ka bola tha shaam tak deliver hojyga as per comments guided evening tak order deliver hojyga ,Roman Urdu,5,"['redeliver', 'deliver']",,,,,,
22,customer apne order ke bare me poch rahe the so guide krdiya ,Roman Urdu,2,['order'],,,,Positive,['guide'],
23,customer prescription ke bare me poch rahe the so guide krdiya ,Roman Urdu,,['guide'],,,,Neutral,['prescription'],[]
24,customer prescription ke bare me poch rahe the so guide krdiya,Roman Urdu,,Null,,,,,,
25,cs keh rahy thy k call arahi thi pr is number se koi order show nh ho raha tha ,Roman Urdu,4,['order'],,,,Neutral,,
26,customer apne order ke bare me poch rahi thin so guide krdya,Roman Urdu,1,['order'],,,,Neutral,,
27,B2C - Delivery timelines AS PER CX APNE ORDER KI TCS DELIVERY TIME KA POCH RAHE THY SO GUIDE KAR DIYA HAI KINDLY NOTED.....\n\n,Roman Urdu,10,"['order', 'delivery', 'time']",None,None,None,Neutral,[],[]
28,cs ko guide kardia hai k ap ko order tcs k zariye deliver hoga  957132 // SYZ139,Roman Urdu,6,"['order', 'deliver']",,,,Positive,,
29,call back cs k order draft me hai sbp order ,Roman Urdu,5,"['call back', 'cs', 'order', 'draft', 'sbp']",,,,,"['order', 'sbp']",
30,"customer Name:  Shahmeer\nCustomer Contact: +923082210104\norder id: 984LI9\n@Pharmasist - Please call him back asap. \nsbp order""cus keh rahe hain meri jo medicine rehti hain arrangment k liye us ko chor kar baki bhaj do kindly call back kar k confirm karlein...\n\n",Roman Urdu,7,"['order', 'call', 'confirm']",,9.23E+11,,Neutral,,
31,B2C- Return Reason,English,0,Null,,,,Neutral,[],[]
32,IOCS70  tp coorect invoice rate jaega,Roman Urdu,0,Null,,,,Neutral,[],[]
33,Diasar 5/80mg Tablet 7.0 'S\nAS PER CUS MUJHE YE ITEM WRONG RECEIVE HUA HAI MEINE ORDER 3 PAKET Diasar 5/80mg Tablet 7.0 'S KIYE THY RECEIVE YE HUA HAI 3 STRIP Diasar 5/160mg Tablet 7.0 'S HUE HAIN CUS KO MAAZRAT K SATH GUIDE KARDIYA HAI K AP HUMEIN PICTURS EMAIL KARDEIN...,Roman Urdu,13,"['order', 'receive']",,,,Neutral,['Diasar'],[]
34,cs ko guide ker dia hy ,Roman Urdu,0,['guide'],,,,Neutral,,
35,B2C-Return- Rider Contacted Customer Unreachable,English,3,"['contacted', 'unreachable']",,,,Neutral,[],[]
36,AS PER RIDER CUS KI LOCATION PER MOJOOD HAI LEKIN HOUSE NO MENTION NHI HAI CALL KAR RAHA HON PICK NHI KAR RAHE HAI KINDLY CONFIRM KAREN..,Roman Urdu,4,"['confirm', 'call', 'pick']",,,,Neutral,,[]
37,cs apna issue bata rahy thy or call drop hogai ,Roman Urdu,,Null,,,,,,
38,sbp order hai pending pr call back ,Roman Urdu,4,"['order', 'call back']",Null,Null,Null,Null,['sbp'],['Null']
39,cs ko guide kardia hai k ap k koi order nh araha hai guided ,Roman Urdu,4,['order'],,,,Neutral,,
40,cs ko guide kardia hai k ap k koi order nh araha hai ,Roman Urdu,3,['order'],,,,Neutral,[],[]
41,cs ko guide ker dia hy ,Roman Urdu,0,Null,,,,,[],[]
42,guided p[olicy info ,English,,Null,,,,,,
43,system down ki waja se order id check nh kar sakha ,Roman Urdu,5,['order'],,,,Neutral,['order id'],
44,system issue cancel due to late delivery,English,3,Null,,,,Negative,[],[]
45,Customer name: Bushra Saboor\nCustomer number: +923452654977\nOrder ID: 58ET3M\nas per rider cus ka kehna hai k mujhe ye order jaldi chahiye tha ab meine market se purchase kar liya hai ap ye order wapis le jaen kindly cus se confirm karen woh gusse mein hain...,Roman Urdu,0,['order'],,9.23E+11,,,['Bushra Saboor'],['gusse']
46,cx order k puch rahe thy apny mai ne guide krdiya AJGZNJ,Roman Urdu,4,['order'],,,,Neutral,[],[]
47,rider ne order id provide nhi ki thi or call drop hogai,Roman Urdu,5,['order'],,,,Negative,[],[]
48,"customer Name:  Abbas Dino Soomro\nCustomer Contact: +923002554662\norder id: QP1203\n@Pharmasist - Please call him back asap. \nsbp order""cus keh rahe hain meri jo medicine rehti hain arrangment k liye us ko chor kar baki bhaj do kindly call back kar k confirm karlein...\n\n",Roman Urdu,15,"['order', 'call', 'confirm']",,9.23E+11,,Neutral,,
49,"customer Name:  Usman Khan\nCustomer Contact: +923232077750\norder id: 69S2K8\n@Pharmasist - Please call him back asap. \nsbp order""cus keh rahe hain meri jo medicine rehti hain arrangment k liye us ko chor kar baki bhaj do kindly call back kar k confirm karlein...\n\n",Roman Urdu,14,"['order', 'arrangement', 'confirm']",,9.23E+11,,Neutral,['Pharmasist'],
50,as per cus mujhe order receive hua jisme meine 2 pack order kiye thy is product k lekin deliver sirf 2 sachet hue hain cus ko guide kardiya hai k ap humein picture email per share kardein.....,Roman Urdu,5,"['order', 'receive', 'order', 'product', 'deliver', 'guide', 'picture', 'email', 'share']",,,,,,
51,as per cus mujhe order receive hua jisme meine 2 pack order kiye thy is product k lekin deliver sirf 2 sachet hue hain cus ko guide kardiya hai k ap humein picture email per share kardein.....,Roman Urdu,3,"['order', 'receive', 'guide']",cus@example.com,,,Neutral,[],[]
52,B2B - Return - Discount Issue ,English,4,Null,,,,Neutral,[],
53,B2C - Redelivery Request - ISL,English,3,"['redelivery', 'request']",,,,,['ISL'],
